"BOF","U3589081","Trailing 1-Year Trades","1","2025-05-01","2026-04-30","2026-05-01;071459","100","100"
"BOA","U3589081"
"BOS","TRNT","Trades; trade date basis"
"HEADER","TRNT","ClientAccountID","AccountAlias","Model","CurrencyPrimary","FXRateToBase","AssetClass","Symbol","Description","Conid","SecurityID","SecurityIDType","CUSIP","ISIN","ListingExchange","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","Multiplier","Strike","Expiry","TradeID","Put/Call","RelatedTradeID","PrincipalAdjustFactor","ReportDate","DateTime","TradeDate","SettleDateTarget","TransactionType","Exchange","Quantity","TradePrice","TradeMoney","Proceeds","Taxes","IBCommission","IBCommissionCurrency","NetCash","ClosePrice","Open/CloseIndicator","Notes/Codes","CostBasis","FifoPnlRealized","FxPnl","MtmPnl","OrigTradePrice","OrigTradeDate","OrigTradeID","OrigOrderID","OrigTransactionID","Buy/Sell","ClearingFirmID","IBOrderID","TransactionID","IBExecID","RelatedTransactionID","BrokerageOrderID","OrderReference","VolatilityOrderLink","ExchOrderID","ExtExecID","OrderTime","OpenDateTime","HoldingPeriodDateTime","WhenRealized","WhenReopened","LevelOfDetail","ChangeInPrice","ChangeInQuantity","OrderType","TraderID","IsAPIOrder","AccruedInterest","SerialNumber","DeliveryType","CommodityType","Fineness","Weight"
"DATA","TRNT","U3589081","","","USD","1","STK","AMZN","AMAZON.COM INC","3691937","US0231351067","ISIN","023135106","US0231351067","NASDAQ","","AMZN","","","","1","","","7754744832","","","","2025-06-05","2025-06-05;105145","2025-06-05","2025-06-06","ExchTrade","DARK","70","210.825","14757.75","-14757.75","0","-1.00322","USD","-14758.75322","207.91","O","","14758.75322","0","0","-204.05","0","","","0","0","BUY","","4116933976","33232672719","0001f951.6841ba12.01.01","","00538ff6.0000fb51.68411c02.0001","","","N/A","EXC-84908","2025-06-05;105145","","","","","EXECUTION","0","0","MKT","","N","0","","","","0.0","0.0"
"DATA","TRNT","U3589081","","","USD","1","STK","AMZN","AMAZON.COM INC","3691937","US0231351067","ISIN","023135106","US0231351067","NASDAQ","","AMZN","","","","1","","","7756147374","","","","2025-06-05","2025-06-05;124611","2025-06-05","2025-06-06","ExchTrade","DARK","-40","209.9501","-8398.004","8398.004","0","-1.00848","USD","8396.99552","207.91","C","P","-8350.373269","46.622251","0","81.604","0","","","0","0","SELL","","4117811280","33236661158","00014729.68419788.01.01","","00538ff6.0000fb51.68411b69.0005","","","N/A","SD_16715936659","2025-06-05;113344","","","","","EXECUTION","0","0","STP","","N","0","","","","0.0","0.0"
"DATA","TRNT","U3589081","","","USD","1","STK","AMZN","AMAZON.COM INC","3691937","US0231351067","ISIN","023135106","US0231351067","NASDAQ","","AMZN","","","","1","","","7756147990","","","","2025-06-05","2025-06-05;124611","2025-06-05","2025-06-06","ExchTrade","DARK","-100","209.95","-20995","20995","0","-0.0212","USD","20994.9788","207.91","C","P","-21021.533171","-26.554371","0","204","0","","","0","0","SELL","","4117811280","33236662241","0000e95f.6841b7f2.01.01","","00538ff6.0000fb51.68411b69.0005","","","N/A","EXC-140229","2025-06-05;113344","","","","","EXECUTION","0","0","STP","","N","0","","","","0.0","0.0"
"DATA","TRNT","U3589081","","","USD","1","STK","ANET","ARISTA NETWORKS INC","740948854","US0404132054","ISIN","040413205","US0404132054","NYSE","","ANET","","","","1","","","8040941994","","","","2025-08-11","2025-08-11;093815","2025-08-11","2025-08-12","ExchTrade","IBKRATS","100","139.82","13982","-13982","0","-1.0027","USD","-13983.0027","137.65","O","","13983.0027","0","0","-217","0","","","0","0","BUY","","4292959425","34347719787","0000d371.6899ebf3.01.01","","00538ff6.0000fb51.68996f57.0001","","","N/A","30786950B","2025-08-11;093815","","","","","EXECUTION","0","0","MKT","","N","0","","","","0.0","0.0"
"DATA","TRNT","U3589081","","","USD","1","STK","ANET","ARISTA NETWORKS INC","740948854","US0404132054","ISIN","040413205","US0404132054","NYSE","","ANET","","","","1","","","8041374472","","","","2025-08-11","2025-08-11;095018","2025-08-11","2025-08-12","ExchTrade","DARK","-100","141.34","-14134","14134","0","-1.0193","USD","14132.9807","137.65","C","","-13983.0027","149.978","0","369","0","","","0","0","SELL","","4293245564","34348448594","00030f00.689a1ab3.01.01","","00538ff6.0000fb51.68996f71.0001","ActivityMonitor","","N/A","1637436413081338571","2025-08-11;095018","","","","","EXECUTION","0","0","MKT","","N","0","","","","0.0","0.0"
"DATA","TRNT","U3589081","","","USD","1","STK","APLD","APPLIED DIGITAL CORP","556067819","US0381692070","ISIN","038169207","US0381692070","NASDAQ","","APLD","","","","1","","","7780442397","","","","2025-06-11","2025-06-11;110741","2025-06-11","2025-06-12","ExchTrade","DARK","100","11.945","1194.5","-1194.5","0","-1.0046","USD","-1195.5046","12.05","O","P","1195.5046","0","0","10.5","0","","","0","0","BUY","","4132681969","33330593041","0000e1ae.68498bd0.01.01","","00538ff6.0000fb51.6849051a.0001","","","N/A","SD_710703377","2025-06-11;110741","","","","","EXECUTION","0","0","MKT","","N","0","","","","0.0","0.0"
"DATA","TRNT","U3589081","","","USD","1","STK","APLD","APPLIED DIGITAL CORP","556067819","US0381692070","ISIN","038169207","US0381692070","NASDAQ","","APLD","","","","1","","","7780442409","","","","2025-06-11","2025-06-11;110741","2025-06-11","2025-06-12","ExchTrade","IBKRATS","100","11.945","1194.5","-1194.5","0","-0.0046","USD","-1194.5046","12.05","O","P","1194.5046","0","0","10.5","0","","","0","0","BUY","","4132681969","33330593055","00018d2c.6849847d.01.01","","00538ff6.0000fb51.6849051a.0001","","","N/A","203664450B","2025-06-11;110741","","","","","EXECUTION","0","0","MKT","","N","0","","","","0.0","0.0"
"DATA","TRNT","U3589081","","","USD","1","STK","APLD","APPLIED DIGITAL CORP","556067819","US0381692070","ISIN","038169207","US0381692070","NASDAQ","","APLD","","","","1","","","7780989228","","","","2025-06-11","2025-06-11;115817","2025-06-11","2025-06-12","ExchTrade","DARK","200","12.095","2419","-2419","0","-1.0092","USD","-2420.0092","12.05","O","","2420.0092","0","0","-9","0","","","0","0","BUY","","4133014565","33332098031","0001451b.6849be29.01.01","","00538ff6.0000fb51.68490562.0001","","","N/A","5132631","2025-06-11;115817","","","","","EXECUTION","0","0","MKT","","N","0","","","","0.0","0.0"
"DATA","TRNT","U3589081","","","USD","1","STK","APLD","APPLIED DIGITAL CORP","556067819","US0381692070","ISIN","038169207","US0381692070","NASDAQ","","APLD","","","","1","","","7780990753","","","","2025-06-11","2025-06-11;115910","2025-06-11","2025-06-12","ExchTrade","IBKRATS","800","12.105","9684","-9684","0","-4.0368","USD","-9688.0368","12.05","O","","9688.0368","0","0","-44","0","","","0","0","BUY","","4133015636","33332098359","0000d371.68499e81.01.01","","00538ff6.0000fb51.68490567.0001","","","N/A","204164000B","2025-06-11;115910","","","","","EXECUTION","0","0","MKT","","N","0","","","","0.0","0.0"
"DATA","TRNT","U3589081","","","USD","1","STK","APLD","APPLIED DIGITAL CORP","556067819","US0381692070","ISIN","038169207","US0381692070","NASDAQ","","APLD","","","","1","","","7782085913","","","","2025-06-11","2025-06-11;140012","2025-06-11","2025-06-12","ExchTrade","DARK","-800","11.995","-9596","9596","0","-4.1696","USD","9591.8304","12.05","C","","-9654.0368","-40.1548","0","-44","0","","","0","0","SELL","","4133708743","33335029681","0000e494.684a5b31.01.01","","00538ff6.0000fb51.684905a2.0001","","","N/A","2506110003119644161","2025-06-11;140012","","","","","EXECUTION","0","0","MKT","","N","0","","","","0.0","0.0"
